Test Error	Training Error	Valid Error	
 7.2162e-01	 7.6090e-01	 7.1689e-01	
 6.6703e-01	 6.4426e-01	 6.5371e-01	
 7.5218e-01	 6.2765e-01	 7.2053e-01	
 6.3319e-01	 6.1280e-01	 6.1239e-01	
 7.0087e-01	 5.8728e-01	 6.7801e-01	
 7.0852e-01	 5.7122e-01	 6.8044e-01	
 5.6987e-01	 5.3854e-01	 5.2491e-01	
 5.7096e-01	 5.0331e-01	 5.6258e-01	
 4.9017e-01	 4.3688e-01	 4.6051e-01	
 5.4039e-01	 3.6601e-01	 5.2126e-01	
 4.0066e-01	 3.3360e-01	 3.6817e-01	
 4.0502e-01	 3.3819e-01	 3.7303e-01	
 3.6245e-01	 3.3819e-01	 3.4751e-01	
 3.8319e-01	 3.3563e-01	 3.5723e-01	
 3.8974e-01	 3.3563e-01	 3.5723e-01	
 4.0502e-01	 3.3455e-01	 3.7303e-01	
 3.7445e-01	 3.3711e-01	 3.5480e-01	
 4.0502e-01	 3.3887e-01	 3.7303e-01	
 4.0939e-01	 3.3657e-01	 3.6452e-01	
 3.9520e-01	 3.3725e-01	 3.6087e-01	
 4.0175e-01	 3.3684e-01	 3.6330e-01	
 3.9083e-01	 3.3630e-01	 3.5480e-01	
 3.8974e-01	 3.3549e-01	 3.4994e-01	
 4.1157e-01	 3.3590e-01	 3.7546e-01	
 4.0066e-01	 3.3495e-01	 3.6087e-01	
 3.9520e-01	 3.3846e-01	 3.6087e-01	
 3.9738e-01	 3.3414e-01	 3.6209e-01	
 3.9956e-01	 3.3360e-01	 3.6938e-01	
 3.9738e-01	 3.3725e-01	 3.6209e-01	
 3.8428e-01	 3.3684e-01	 3.5723e-01	
 3.9410e-01	 3.3590e-01	 3.5844e-01	
 3.9301e-01	 3.3657e-01	 3.5966e-01	
 3.8974e-01	 3.3428e-01	 3.7060e-01	
 3.9520e-01	 3.4103e-01	 3.5358e-01	
 3.8100e-01	 3.3954e-01	 3.5966e-01	
 4.0830e-01	 3.3374e-01	 3.6938e-01	
 3.8537e-01	 3.3617e-01	 3.6209e-01	
 3.9738e-01	 3.3185e-01	 3.6209e-01	
 4.0393e-01	 3.3441e-01	 3.6330e-01	
