Test Error	Training Error	Valid Error	
 9.9023e-01	 9.8918e-01	 9.9214e-01	
 9.9562e-01	 9.7724e-01	 9.9214e-01	
 9.5150e-01	 9.7137e-01	 9.3935e-01	
 9.5150e-01	 9.6671e-01	 9.3935e-01	
 9.7474e-01	 9.6076e-01	 9.6069e-01	
 9.4544e-01	 9.5323e-01	 9.3224e-01	
 9.4779e-01	 9.4420e-01	 9.3598e-01	
 9.6531e-01	 9.3351e-01	 9.5208e-01	
 9.7238e-01	 9.2814e-01	 9.5545e-01	
 9.6868e-01	 9.1986e-01	 9.5358e-01	
 9.6868e-01	 9.2432e-01	 9.5358e-01	
 9.6868e-01	 9.2373e-01	 9.5358e-01	
 9.6362e-01	 9.2411e-01	 9.5095e-01	
 9.6868e-01	 9.2377e-01	 9.5358e-01	
 9.6868e-01	 9.2402e-01	 9.5358e-01	
 9.6868e-01	 9.2290e-01	 9.5358e-01	
 9.6564e-01	 9.2477e-01	 9.4871e-01	
 9.6362e-01	 9.2353e-01	 9.5095e-01	
 9.6868e-01	 9.2407e-01	 9.5358e-01	
 9.6362e-01	 9.2419e-01	 9.5095e-01	
 9.6564e-01	 9.2328e-01	 9.4871e-01	
 9.6868e-01	 9.2486e-01	 9.5358e-01	
 9.6362e-01	 9.2432e-01	 9.5095e-01	
 9.6868e-01	 9.2419e-01	 9.5358e-01	
 9.6362e-01	 9.2344e-01	 9.5095e-01	
 9.6868e-01	 9.2432e-01	 9.5358e-01	
 9.6059e-01	 9.2390e-01	 9.4609e-01	
 9.6362e-01	 9.2361e-01	 9.5095e-01	
 9.6362e-01	 9.2373e-01	 9.5095e-01	
 9.6564e-01	 9.2444e-01	 9.4871e-01	
 9.6868e-01	 9.2440e-01	 9.5358e-01	
 9.6868e-01	 9.2328e-01	 9.5358e-01	
 9.6362e-01	 9.2415e-01	 9.5095e-01	
 9.6362e-01	 9.2373e-01	 9.5095e-01	
 9.6868e-01	 9.2423e-01	 9.5358e-01	
 9.6868e-01	 9.2423e-01	 9.5358e-01	
 9.5925e-01	 9.2315e-01	 9.4534e-01	
 9.6362e-01	 9.2444e-01	 9.5095e-01	
