Test Error	Training Error	Valid Error	
 9.4914e-01	 9.6476e-01	 9.3635e-01	
 9.4914e-01	 9.4499e-01	 9.3635e-01	
 9.5621e-01	 9.3422e-01	 9.5620e-01	
 9.6564e-01	 9.2182e-01	 9.4796e-01	
 9.7002e-01	 9.1258e-01	 9.7155e-01	
 9.4948e-01	 8.9298e-01	 9.3486e-01	
 9.0771e-01	 8.6507e-01	 9.0228e-01	
 9.0468e-01	 8.1306e-01	 9.0116e-01	
 7.3223e-01	 7.3047e-01	 7.3306e-01	
 5.9885e-01	 6.4059e-01	 6.1438e-01	
 5.9144e-01	 5.7215e-01	 6.0876e-01	
 6.2513e-01	 5.7477e-01	 6.4395e-01	
 5.9313e-01	 5.7286e-01	 6.0689e-01	
 6.1873e-01	 5.7227e-01	 6.4021e-01	
 5.7999e-01	 5.7252e-01	 5.9790e-01	
 5.9885e-01	 5.7011e-01	 6.1962e-01	
 5.9246e-01	 5.7444e-01	 6.1176e-01	
 6.2546e-01	 5.7036e-01	 6.4320e-01	
 5.9010e-01	 5.7377e-01	 6.0951e-01	
 6.1199e-01	 5.7369e-01	 6.2935e-01	
 6.1367e-01	 5.7194e-01	 6.3272e-01	
 5.9347e-01	 5.7360e-01	 6.1063e-01	
 6.0357e-01	 5.7398e-01	 6.2411e-01	
 6.1603e-01	 5.7444e-01	 6.3235e-01	
 5.9448e-01	 5.7606e-01	 6.2186e-01	
 6.1772e-01	 5.7373e-01	 6.3796e-01	
 5.8707e-01	 5.7356e-01	 5.9978e-01	
 5.7528e-01	 5.7186e-01	 5.8892e-01	
 5.8639e-01	 5.7244e-01	 6.0539e-01	
 6.2614e-01	 5.7073e-01	 6.4021e-01	
 6.2108e-01	 5.7327e-01	 6.4171e-01	
 6.1940e-01	 5.7161e-01	 6.4021e-01	
 5.9616e-01	 5.7256e-01	 6.2299e-01	
 6.3119e-01	 5.7190e-01	 6.4994e-01	
 6.1435e-01	 5.6932e-01	 6.3197e-01	
 6.2378e-01	 5.6928e-01	 6.3721e-01	
 6.2176e-01	 5.7485e-01	 6.3909e-01	
 6.2647e-01	 5.7439e-01	 6.5144e-01	
 5.9650e-01	 5.6961e-01	 6.1400e-01	
 6.2075e-01	 5.7335e-01	 6.3946e-01	
 6.2075e-01	 5.7365e-01	 6.4395e-01	
 5.9919e-01	 5.7385e-01	 6.2149e-01	
 5.9212e-01	 5.7136e-01	 6.1063e-01	
 6.2378e-01	 5.7356e-01	 6.3459e-01	
 6.0795e-01	 5.7294e-01	 6.2636e-01	
 5.8437e-01	 5.7327e-01	 6.0539e-01	
 5.8336e-01	 5.7119e-01	 6.0539e-01	
 6.2647e-01	 5.7444e-01	 6.4021e-01	
 6.1772e-01	 5.7165e-01	 6.4021e-01	
 5.8976e-01	 5.7102e-01	 6.0464e-01	
 5.8740e-01	 5.7519e-01	 6.0764e-01	
 5.8976e-01	 5.7065e-01	 6.0352e-01	
 5.9852e-01	 5.7286e-01	 6.1812e-01	
 6.1031e-01	 5.7057e-01	 6.3160e-01	
 6.2378e-01	 5.7348e-01	 6.4470e-01	
 6.1469e-01	 5.7248e-01	 6.2523e-01	
 6.0660e-01	 5.7489e-01	 6.3310e-01	
 6.0963e-01	 5.7464e-01	 6.3272e-01	
 5.7865e-01	 5.7627e-01	 6.0614e-01	
 5.8370e-01	 5.7573e-01	 6.0577e-01	
 6.0458e-01	 5.7535e-01	 6.2074e-01	
 5.9953e-01	 5.7277e-01	 6.2261e-01	
 6.1671e-01	 5.7294e-01	 6.2860e-01	
 6.0862e-01	 5.6969e-01	 6.2636e-01	
 6.2984e-01	 5.7693e-01	 6.5519e-01	
 5.9818e-01	 5.7281e-01	 6.2636e-01	
 6.1435e-01	 5.7094e-01	 6.3684e-01	
 6.3860e-01	 5.6998e-01	 6.5930e-01	
 5.8841e-01	 5.7148e-01	 6.0127e-01	
 5.9010e-01	 5.7672e-01	 6.0988e-01	
 6.2142e-01	 5.7489e-01	 6.3759e-01	
 5.8505e-01	 5.7460e-01	 6.0165e-01	
 5.8909e-01	 5.7298e-01	 6.0427e-01	
 5.8673e-01	 5.7681e-01	 6.0427e-01	
 6.2007e-01	 5.7502e-01	 6.3946e-01	
 6.0121e-01	 5.7381e-01	 6.2186e-01	
 5.8942e-01	 5.7356e-01	 6.0951e-01	
 6.0728e-01	 5.7302e-01	 6.2336e-01	
 6.1469e-01	 5.7498e-01	 6.2486e-01	
 5.9953e-01	 5.7090e-01	 6.2748e-01	
