Test Error	Training Error	Valid Error	
 1.0000e+00	 9.9164e-01	 1.0000e+00	
 9.5150e-01	 9.7616e-01	 9.3935e-01	
 9.4847e-01	 9.6767e-01	 9.3785e-01	
 9.4779e-01	 9.6821e-01	 9.3710e-01	
 9.5992e-01	 9.5831e-01	 9.5058e-01	
 9.5150e-01	 9.5340e-01	 9.3935e-01	
 9.4948e-01	 9.4271e-01	 9.3860e-01	
 9.4813e-01	 9.4008e-01	 9.3785e-01	
 9.5150e-01	 9.2843e-01	 9.3935e-01	
 9.5049e-01	 9.2511e-01	 9.3823e-01	
 9.7575e-01	 9.0705e-01	 9.7791e-01	
 9.6295e-01	 9.0276e-01	 9.5208e-01	
 9.8114e-01	 8.9465e-01	 9.8091e-01	
 9.7474e-01	 8.8487e-01	 9.7604e-01	
 9.8215e-01	 8.6698e-01	 9.7978e-01	
 9.6935e-01	 8.4767e-01	 9.5732e-01	
 9.6194e-01	 8.2583e-01	 9.6144e-01	
 9.3769e-01	 7.9999e-01	 9.3373e-01	
 8.2890e-01	 7.5497e-01	 8.2928e-01	
 8.0869e-01	 7.1865e-01	 8.1505e-01	
 8.0364e-01	 6.8632e-01	 8.1917e-01	
 7.3796e-01	 6.4425e-01	 7.6788e-01	
 6.2681e-01	 6.0564e-01	 6.2973e-01	
 6.5140e-01	 5.7165e-01	 6.5556e-01	
 6.0930e-01	 5.1485e-01	 6.0689e-01	
 5.9650e-01	 4.8365e-01	 6.1101e-01	
 4.9276e-01	 4.5257e-01	 5.0019e-01	
 4.1832e-01	 4.2178e-01	 4.2044e-01	
 4.8737e-01	 3.8970e-01	 5.0505e-01	
 4.9545e-01	 3.6877e-01	 5.1816e-01	
 4.5268e-01	 3.4576e-01	 4.6836e-01	
 4.7019e-01	 3.2113e-01	 4.9420e-01	
 3.8363e-01	 3.0112e-01	 3.9648e-01	
 5.2779e-01	 2.8310e-01	 5.4923e-01	
 3.1728e-01	 2.7270e-01	 3.2834e-01	
 2.5935e-01	 2.3987e-01	 2.5870e-01	
 3.1391e-01	 2.3246e-01	 3.1636e-01	
 3.1930e-01	 2.2181e-01	 3.3433e-01	
 5.3385e-01	 2.1311e-01	 5.5110e-01	
 2.3846e-01	 2.0642e-01	 2.4560e-01	
 4.1529e-01	 2.0038e-01	 4.4328e-01	
 2.2028e-01	 1.9231e-01	 2.3175e-01	
 2.7652e-01	 1.8836e-01	 2.7930e-01	
 3.6443e-01	 1.8640e-01	 3.7589e-01	
 3.1088e-01	 1.8337e-01	 3.1187e-01	
 1.8895e-01	 1.7500e-01	 1.8570e-01	
 2.0074e-01	 1.7542e-01	 2.0629e-01	
 2.6709e-01	 1.7513e-01	 2.7069e-01	
 2.0074e-01	 1.6822e-01	 1.9693e-01	
 4.1394e-01	 1.6963e-01	 4.3018e-01	
 4.1058e-01	 1.6381e-01	 4.2905e-01	
 2.2162e-01	 1.6048e-01	 2.2276e-01	
 1.9064e-01	 1.5936e-01	 1.9094e-01	
 2.0613e-01	 1.6006e-01	 2.0292e-01	
 2.3308e-01	 1.5669e-01	 2.3811e-01	
 1.7009e-01	 1.5607e-01	 1.7409e-01	
 2.5261e-01	 1.5653e-01	 2.7031e-01	
 1.8828e-01	 1.5445e-01	 1.9468e-01	
 2.1792e-01	 1.5208e-01	 2.1827e-01	
 1.8558e-01	 1.5241e-01	 1.8607e-01	
 1.8963e-01	 1.5120e-01	 1.8907e-01	
 2.5059e-01	 1.5116e-01	 2.5159e-01	
 2.5093e-01	 1.4829e-01	 2.4972e-01	
 1.7683e-01	 1.4987e-01	 1.8158e-01	
 1.9198e-01	 1.4742e-01	 1.8757e-01	
 4.1967e-01	 1.4796e-01	 4.3242e-01	
 2.7821e-01	 1.4617e-01	 2.8454e-01	
 2.2196e-01	 1.4654e-01	 2.3100e-01	
 1.6908e-01	 1.4592e-01	 1.7185e-01	
 1.8895e-01	 1.4563e-01	 1.8832e-01	
 1.6470e-01	 1.4500e-01	 1.6473e-01	
 2.4722e-01	 1.4463e-01	 2.5945e-01	
 2.0613e-01	 1.4267e-01	 2.1265e-01	
 2.1219e-01	 1.4217e-01	 2.1528e-01	
 1.6672e-01	 1.4088e-01	 1.6848e-01	
 1.6605e-01	 1.4363e-01	 1.6660e-01	
 2.2162e-01	 1.4222e-01	 2.2276e-01	
 1.6807e-01	 1.4009e-01	 1.6923e-01	
 1.5965e-01	 1.4059e-01	 1.6211e-01	
 1.7649e-01	 1.3901e-01	 1.7858e-01	
 1.5594e-01	 1.3814e-01	 1.4938e-01	
 1.6403e-01	 1.3976e-01	 1.6735e-01	
 1.5123e-01	 1.3664e-01	 1.5088e-01	
 1.5763e-01	 1.3627e-01	 1.6136e-01	
 2.0276e-01	 1.3552e-01	 2.1003e-01	
 3.4187e-01	 1.3560e-01	 3.6054e-01	
 1.9165e-01	 1.3452e-01	 1.9319e-01	
 1.5864e-01	 1.3527e-01	 1.6211e-01	
 1.5493e-01	 1.3431e-01	 1.5275e-01	
 1.7076e-01	 1.3348e-01	 1.7259e-01	
 1.6234e-01	 1.3335e-01	 1.6698e-01	
