Test Error	Training Error	Valid Error	
 4.7750e-01	 5.2787e-01	 4.7100e-01	
 4.8360e-01	 3.7287e-01	 4.6740e-01	
 3.8020e-01	 3.3367e-01	 3.6340e-01	
 3.3120e-01	 3.0758e-01	 3.2440e-01	
 3.0150e-01	 2.9569e-01	 2.9380e-01	
 3.2740e-01	 2.8516e-01	 3.1700e-01	
 3.1730e-01	 2.7882e-01	 3.0780e-01	
 3.4760e-01	 2.7389e-01	 3.3840e-01	
 3.4510e-01	 2.7378e-01	 3.3600e-01	
 3.1130e-01	 2.6911e-01	 3.0340e-01	
 2.8990e-01	 2.5598e-01	 2.7960e-01	
 2.9780e-01	 2.5849e-01	 2.8660e-01	
 2.9030e-01	 2.5602e-01	 2.7940e-01	
 2.8870e-01	 2.5629e-01	 2.7960e-01	
 2.9120e-01	 2.5542e-01	 2.8260e-01	
 2.9240e-01	 2.5678e-01	 2.8500e-01	
 2.8790e-01	 2.5638e-01	 2.7720e-01	
 2.8790e-01	 2.5809e-01	 2.7860e-01	
 2.9640e-01	 2.5478e-01	 2.8580e-01	
 2.8330e-01	 2.5769e-01	 2.7520e-01	
 2.8600e-01	 2.5676e-01	 2.8120e-01	
 2.8810e-01	 2.5551e-01	 2.8140e-01	
 2.9590e-01	 2.5736e-01	 2.8740e-01	
 2.8920e-01	 2.5631e-01	 2.8140e-01	
 2.9450e-01	 2.5480e-01	 2.8860e-01	
 2.8580e-01	 2.5558e-01	 2.7820e-01	
 2.8430e-01	 2.5631e-01	 2.7340e-01	
 2.7990e-01	 2.5518e-01	 2.7180e-01	
 2.9620e-01	 2.5371e-01	 2.8800e-01	
 2.9040e-01	 2.5536e-01	 2.8240e-01	
 2.9670e-01	 2.5711e-01	 2.9020e-01	
 2.8950e-01	 2.5496e-01	 2.7960e-01	
 3.0110e-01	 2.5336e-01	 2.9380e-01	
 2.9390e-01	 2.5709e-01	 2.8060e-01	
 2.8550e-01	 2.5540e-01	 2.7020e-01	
 2.8250e-01	 2.5638e-01	 2.7940e-01	
 3.0470e-01	 2.5727e-01	 2.9780e-01	
 3.0340e-01	 2.5671e-01	 2.9360e-01	
 2.9430e-01	 2.5382e-01	 2.8140e-01	
 2.9760e-01	 2.5451e-01	 2.8660e-01	
 2.9400e-01	 2.5747e-01	 2.8880e-01	
 2.8470e-01	 2.5393e-01	 2.7740e-01	
 2.8470e-01	 2.5684e-01	 2.7680e-01	
 2.9170e-01	 2.5513e-01	 2.8000e-01	
 2.8930e-01	 2.5373e-01	 2.7840e-01	
 2.9000e-01	 2.5336e-01	 2.7900e-01	
 2.9160e-01	 2.5587e-01	 2.8220e-01	
 2.8290e-01	 2.5491e-01	 2.7380e-01	
 2.9230e-01	 2.5742e-01	 2.9040e-01	
 3.0010e-01	 2.5496e-01	 2.9140e-01	
 2.9970e-01	 2.5509e-01	 2.8520e-01	
 2.9340e-01	 2.5571e-01	 2.8440e-01	
 2.9150e-01	 2.5458e-01	 2.8120e-01	
 2.9210e-01	 2.5529e-01	 2.8700e-01	
 2.8990e-01	 2.5718e-01	 2.7660e-01	
 2.8490e-01	 2.5593e-01	 2.7500e-01	
 2.8880e-01	 2.5687e-01	 2.8240e-01	
 2.9030e-01	 2.5731e-01	 2.8480e-01	
 2.9740e-01	 2.5620e-01	 2.9260e-01	
 2.9650e-01	 2.5538e-01	 2.8940e-01	
 2.8960e-01	 2.5624e-01	 2.8200e-01	
 2.9390e-01	 2.5453e-01	 2.8880e-01	
 2.9790e-01	 2.5451e-01	 2.8820e-01	
 2.8840e-01	 2.5302e-01	 2.8460e-01	
 2.9070e-01	 2.5642e-01	 2.8100e-01	
 2.9110e-01	 2.5498e-01	 2.8140e-01	
 2.9640e-01	 2.5498e-01	 2.8960e-01	
 2.9380e-01	 2.5756e-01	 2.8240e-01	
 2.9240e-01	 2.5464e-01	 2.8100e-01	
 2.8730e-01	 2.5653e-01	 2.8140e-01	
 2.8970e-01	 2.5591e-01	 2.8420e-01	
 3.0000e-01	 2.5576e-01	 2.9080e-01	
 3.0060e-01	 2.5653e-01	 2.9260e-01	
 2.8500e-01	 2.5451e-01	 2.7960e-01	
 2.9000e-01	 2.5571e-01	 2.7940e-01	
 2.8630e-01	 2.5756e-01	 2.7820e-01	
 3.0100e-01	 2.5324e-01	 2.9300e-01	
 2.9800e-01	 2.5440e-01	 2.8980e-01	
 2.9590e-01	 2.5584e-01	 2.8780e-01	
 2.9200e-01	 2.5609e-01	 2.8220e-01	
 2.9460e-01	 2.5498e-01	 2.8700e-01	
 2.9330e-01	 2.5476e-01	 2.8600e-01	
 2.8300e-01	 2.5453e-01	 2.7340e-01	
 2.9060e-01	 2.5518e-01	 2.8100e-01	
 2.9680e-01	 2.5556e-01	 2.8860e-01	
 2.9400e-01	 2.5402e-01	 2.8520e-01	
 2.9340e-01	 2.5604e-01	 2.8260e-01	
 2.8830e-01	 2.5424e-01	 2.8360e-01	
 2.9970e-01	 2.5740e-01	 2.9120e-01	
 2.9380e-01	 2.5576e-01	 2.8060e-01	
 2.9170e-01	 2.5551e-01	 2.8300e-01	
 2.9140e-01	 2.5502e-01	 2.8040e-01	
 2.9490e-01	 2.5558e-01	 2.8680e-01	
 2.9400e-01	 2.5489e-01	 2.8620e-01	
 2.8980e-01	 2.5547e-01	 2.7940e-01	
 2.8720e-01	 2.5724e-01	 2.7840e-01	
 2.8280e-01	 2.5509e-01	 2.7540e-01	
 2.8370e-01	 2.5629e-01	 2.7820e-01	
 2.9060e-01	 2.5522e-01	 2.8000e-01	
 2.9910e-01	 2.5709e-01	 2.9140e-01	
 2.9050e-01	 2.5798e-01	 2.8000e-01	
 2.8700e-01	 2.5818e-01	 2.7960e-01	
 2.8590e-01	 2.5520e-01	 2.7720e-01	
 2.8560e-01	 2.5711e-01	 2.7660e-01	
 2.9020e-01	 2.5631e-01	 2.8260e-01	
 2.9090e-01	 2.5747e-01	 2.8360e-01	
 2.9990e-01	 2.5291e-01	 2.9320e-01	
 2.9360e-01	 2.5591e-01	 2.8700e-01	
 2.9300e-01	 2.5711e-01	 2.8720e-01	
 2.9160e-01	 2.5411e-01	 2.8460e-01	
 2.8660e-01	 2.5716e-01	 2.8260e-01	
 2.9440e-01	 2.5542e-01	 2.9040e-01	
 2.8770e-01	 2.5836e-01	 2.7740e-01	
 2.9600e-01	 2.5620e-01	 2.9120e-01	
 2.9320e-01	 2.5367e-01	 2.7940e-01	
 2.9520e-01	 2.5678e-01	 2.8900e-01	
 2.9040e-01	 2.5742e-01	 2.7940e-01	
 2.9570e-01	 2.5913e-01	 2.8560e-01	
 2.9780e-01	 2.5720e-01	 2.8740e-01	
 2.9860e-01	 2.5562e-01	 2.9180e-01	
 2.9450e-01	 2.5531e-01	 2.8420e-01	
 2.8600e-01	 2.5533e-01	 2.7740e-01	
 3.0140e-01	 2.5338e-01	 2.9080e-01	
 2.8260e-01	 2.5498e-01	 2.7720e-01	
 2.8220e-01	 2.5309e-01	 2.7520e-01	
 2.8830e-01	 2.5602e-01	 2.8100e-01	
 2.8290e-01	 2.5440e-01	 2.7600e-01	
 2.9420e-01	 2.5556e-01	 2.8840e-01	
 3.0000e-01	 2.5864e-01	 2.9020e-01	
 2.8730e-01	 2.5580e-01	 2.7460e-01	
 2.9050e-01	 2.5684e-01	 2.8760e-01	
 2.9680e-01	 2.5787e-01	 2.8700e-01	
 2.8230e-01	 2.5740e-01	 2.7340e-01	
 2.8750e-01	 2.5662e-01	 2.7980e-01	
 2.8770e-01	 2.5769e-01	 2.7820e-01	
 2.8990e-01	 2.5553e-01	 2.8440e-01	
 3.0340e-01	 2.5569e-01	 2.8920e-01	
 2.8710e-01	 2.5442e-01	 2.7980e-01	
 2.9400e-01	 2.5704e-01	 2.8060e-01	
 2.8620e-01	 2.5422e-01	 2.7820e-01	
 2.8610e-01	 2.5829e-01	 2.8060e-01	
 2.9560e-01	 2.5362e-01	 2.8160e-01	
 2.9810e-01	 2.5420e-01	 2.8560e-01	
 2.9630e-01	 2.5487e-01	 2.8760e-01	
 2.9130e-01	 2.5607e-01	 2.7880e-01	
 3.0050e-01	 2.5391e-01	 2.9660e-01	
 2.8800e-01	 2.5333e-01	 2.7840e-01	
 2.8720e-01	 2.5873e-01	 2.7900e-01	
 2.9350e-01	 2.5658e-01	 2.8720e-01	
 2.8110e-01	 2.5589e-01	 2.6860e-01	
 2.9420e-01	 2.5402e-01	 2.8660e-01	
 2.9360e-01	 2.5704e-01	 2.8060e-01	
 2.9060e-01	 2.5502e-01	 2.8160e-01	
 2.9880e-01	 2.5704e-01	 2.8960e-01	
 2.9170e-01	 2.5747e-01	 2.8740e-01	
 2.9700e-01	 2.5498e-01	 2.8960e-01	
 2.8650e-01	 2.5629e-01	 2.7880e-01	
 2.8870e-01	 2.5756e-01	 2.7840e-01	
 2.9680e-01	 2.5627e-01	 2.8720e-01	
 2.8830e-01	 2.5647e-01	 2.8000e-01	
 2.8590e-01	 2.5529e-01	 2.7680e-01	
 2.9300e-01	 2.5507e-01	 2.8380e-01	
 2.9150e-01	 2.5553e-01	 2.8360e-01	
 2.8550e-01	 2.5578e-01	 2.7820e-01	
 2.8220e-01	 2.5509e-01	 2.7240e-01	
 2.9490e-01	 2.5769e-01	 2.8600e-01	
 2.8490e-01	 2.5653e-01	 2.8020e-01	
 2.8680e-01	 2.5500e-01	 2.7540e-01	
 2.9070e-01	 2.5753e-01	 2.7920e-01	
 2.9550e-01	 2.5609e-01	 2.8680e-01	
 2.8870e-01	 2.5624e-01	 2.7880e-01	
 2.9290e-01	 2.5536e-01	 2.8600e-01	
 2.9780e-01	 2.5480e-01	 2.8600e-01	
 2.8330e-01	 2.5538e-01	 2.7700e-01	
 2.9370e-01	 2.5560e-01	 2.8380e-01	
 2.7640e-01	 2.5722e-01	 2.6940e-01	
 2.8880e-01	 2.5678e-01	 2.7540e-01	
 2.8640e-01	 2.5700e-01	 2.7840e-01	
 2.9500e-01	 2.5587e-01	 2.8340e-01	
 2.8750e-01	 2.5518e-01	 2.7700e-01	
 2.8900e-01	 2.5484e-01	 2.7880e-01	
 2.8870e-01	 2.5696e-01	 2.8820e-01	
 3.0200e-01	 2.5476e-01	 2.9520e-01	
 2.8960e-01	 2.5309e-01	 2.8500e-01	
 2.9210e-01	 2.5656e-01	 2.8180e-01	
 2.8370e-01	 2.5584e-01	 2.7400e-01	
 2.8360e-01	 2.5320e-01	 2.7260e-01	
