Test Error	Training Error	Valid Error	
 9.4020e-01	 9.5133e-01	 9.4139e-01	
 9.3370e-01	 9.2198e-01	 9.3239e-01	
 9.2410e-01	 9.1113e-01	 9.2018e-01	
 9.0360e-01	 8.8733e-01	 8.9778e-01	
 8.9290e-01	 8.7027e-01	 8.8758e-01	
 8.7870e-01	 8.5329e-01	 8.7658e-01	
 8.6220e-01	 8.4007e-01	 8.5717e-01	
 8.5110e-01	 8.2196e-01	 8.4617e-01	
 8.3330e-01	 8.0784e-01	 8.2997e-01	
 8.1960e-01	 7.9344e-01	 8.1476e-01	
 8.1120e-01	 7.8287e-01	 8.0716e-01	
 7.8990e-01	 7.7000e-01	 7.8836e-01	
 7.8210e-01	 7.6042e-01	 7.8036e-01	
 7.6630e-01	 7.5189e-01	 7.7195e-01	
 7.5850e-01	 7.4302e-01	 7.5355e-01	
 7.5230e-01	 7.3400e-01	 7.5275e-01	
 7.2910e-01	 7.2478e-01	 7.2374e-01	
 7.2150e-01	 7.1673e-01	 7.1654e-01	
 7.1700e-01	 7.0716e-01	 7.1194e-01	
 7.0820e-01	 6.9818e-01	 7.0534e-01	
 7.0060e-01	 6.8753e-01	 7.0154e-01	
 7.0070e-01	 6.8191e-01	 6.9474e-01	
 6.9510e-01	 6.7773e-01	 6.9414e-01	
 6.8860e-01	 6.7656e-01	 6.9074e-01	
 6.9620e-01	 6.6953e-01	 6.8934e-01	
 6.8850e-01	 6.6496e-01	 6.8114e-01	
 6.8290e-01	 6.6389e-01	 6.7854e-01	
 6.7820e-01	 6.5793e-01	 6.8314e-01	
 6.7220e-01	 6.5740e-01	 6.6853e-01	
 6.6870e-01	 6.4942e-01	 6.6053e-01	
 6.6720e-01	 6.4847e-01	 6.6613e-01	
 6.5880e-01	 6.4304e-01	 6.5553e-01	
 6.5620e-01	 6.4049e-01	 6.4953e-01	
 6.6340e-01	 6.3844e-01	 6.5373e-01	
 6.5070e-01	 6.3520e-01	 6.4913e-01	
 6.5150e-01	 6.3091e-01	 6.4593e-01	
 6.5090e-01	 6.2756e-01	 6.4513e-01	
 6.4510e-01	 6.2324e-01	 6.4393e-01	
 6.3610e-01	 6.2111e-01	 6.3753e-01	
 6.4440e-01	 6.1764e-01	 6.3873e-01	
 6.2800e-01	 6.1140e-01	 6.3253e-01	
 6.3240e-01	 6.0800e-01	 6.4133e-01	
 6.2150e-01	 6.0607e-01	 6.3153e-01	
 6.3180e-01	 6.0573e-01	 6.2753e-01	
 6.2940e-01	 6.0182e-01	 6.3153e-01	
 6.2990e-01	 6.0182e-01	 6.3193e-01	
 6.2370e-01	 5.9771e-01	 6.2012e-01	
 6.2250e-01	 5.9689e-01	 6.2192e-01	
 6.1740e-01	 5.9547e-01	 6.2913e-01	
 6.2000e-01	 5.9107e-01	 6.2172e-01	
 6.1370e-01	 5.9347e-01	 6.1712e-01	
 6.1630e-01	 5.8889e-01	 6.1452e-01	
 6.1570e-01	 5.9022e-01	 6.1512e-01	
 6.1480e-01	 5.8560e-01	 6.1152e-01	
 6.1520e-01	 5.8600e-01	 6.1132e-01	
 6.1180e-01	 5.8518e-01	 6.0972e-01	
 6.1450e-01	 5.8769e-01	 6.0912e-01	
 6.1180e-01	 5.8420e-01	 6.1652e-01	
 6.0310e-01	 5.7987e-01	 5.9992e-01	
 6.0550e-01	 5.8024e-01	 6.0612e-01	
 6.0420e-01	 5.7473e-01	 6.0872e-01	
 6.0350e-01	 5.7416e-01	 6.0052e-01	
 6.0290e-01	 5.7078e-01	 6.0092e-01	
 6.0370e-01	 5.7247e-01	 6.0272e-01	
 6.0530e-01	 5.6984e-01	 6.0452e-01	
 6.0710e-01	 5.7113e-01	 6.1072e-01	
 5.9990e-01	 5.6753e-01	 6.0072e-01	
 5.9860e-01	 5.6871e-01	 5.9792e-01	
 5.9910e-01	 5.6693e-01	 5.9712e-01	
 5.9660e-01	 5.6609e-01	 6.0312e-01	
 6.0070e-01	 5.6540e-01	 6.0592e-01	
 5.9470e-01	 5.6378e-01	 5.8852e-01	
 5.9420e-01	 5.6571e-01	 5.9972e-01	
 5.9810e-01	 5.6167e-01	 6.0112e-01	
 5.9360e-01	 5.6118e-01	 5.8692e-01	
 5.8850e-01	 5.6122e-01	 5.8832e-01	
 5.9260e-01	 5.6002e-01	 5.9072e-01	
 5.9090e-01	 5.5956e-01	 5.8592e-01	
 5.9380e-01	 5.5838e-01	 5.9112e-01	
 5.9050e-01	 5.6089e-01	 5.9312e-01	
 5.8860e-01	 5.5767e-01	 5.8932e-01	
 5.8590e-01	 5.5400e-01	 5.8412e-01	
 5.8480e-01	 5.5262e-01	 5.8432e-01	
 5.8590e-01	 5.5569e-01	 5.8852e-01	
 5.8740e-01	 5.5313e-01	 5.8892e-01	
