Test Error	Training Error	Valid Error	
 9.2300e-01	 9.4893e-01	 9.2298e-01	
 9.1050e-01	 9.1782e-01	 9.1238e-01	
 8.8700e-01	 9.0198e-01	 8.8958e-01	
 8.7910e-01	 8.8618e-01	 8.7558e-01	
 8.6500e-01	 8.7373e-01	 8.6637e-01	
 8.5700e-01	 8.6118e-01	 8.6197e-01	
 8.4060e-01	 8.5384e-01	 8.4197e-01	
 8.3360e-01	 8.3951e-01	 8.2577e-01	
 8.3330e-01	 8.3233e-01	 8.3117e-01	
 8.0740e-01	 8.2524e-01	 8.1596e-01	
 8.0850e-01	 8.1547e-01	 8.1096e-01	
 7.9510e-01	 8.0687e-01	 7.9776e-01	
 7.9260e-01	 7.9744e-01	 7.9916e-01	
 7.8190e-01	 7.8904e-01	 7.8516e-01	
 7.7980e-01	 7.8033e-01	 7.8216e-01	
 7.6700e-01	 7.7367e-01	 7.6835e-01	
 7.5480e-01	 7.6529e-01	 7.5255e-01	
 7.7000e-01	 7.6151e-01	 7.6295e-01	
 7.4940e-01	 7.5742e-01	 7.4335e-01	
 7.4580e-01	 7.5247e-01	 7.4735e-01	
 7.2960e-01	 7.4849e-01	 7.3335e-01	
 7.2970e-01	 7.4471e-01	 7.3375e-01	
 7.3730e-01	 7.3753e-01	 7.4175e-01	
 7.2770e-01	 7.3520e-01	 7.2294e-01	
 7.2840e-01	 7.3284e-01	 7.2955e-01	
 7.2130e-01	 7.2938e-01	 7.1914e-01	
 7.1410e-01	 7.2333e-01	 7.1254e-01	
 7.1470e-01	 7.2151e-01	 7.1214e-01	
 7.1090e-01	 7.1991e-01	 7.0754e-01	
 7.0400e-01	 7.1409e-01	 6.9494e-01	
 7.1000e-01	 7.1396e-01	 7.1194e-01	
 6.9980e-01	 7.0816e-01	 6.9754e-01	
 6.9520e-01	 7.0436e-01	 6.9374e-01	
 7.0320e-01	 7.0282e-01	 6.9974e-01	
 7.0100e-01	 7.0113e-01	 6.9994e-01	
 6.9410e-01	 6.9971e-01	 6.9174e-01	
 6.9720e-01	 6.9744e-01	 6.9174e-01	
 6.8980e-01	 6.9453e-01	 6.8234e-01	
 6.8360e-01	 6.9278e-01	 6.7874e-01	
 6.8490e-01	 6.9082e-01	 6.8494e-01	
 6.9920e-01	 6.8987e-01	 6.9934e-01	
 6.8640e-01	 6.8871e-01	 6.8314e-01	
 6.7540e-01	 6.8827e-01	 6.7033e-01	
 6.6860e-01	 6.8749e-01	 6.6893e-01	
 6.7200e-01	 6.8353e-01	 6.6873e-01	
 6.8100e-01	 6.7936e-01	 6.7674e-01	
 6.7220e-01	 6.8042e-01	 6.6933e-01	
 6.7080e-01	 6.8236e-01	 6.6793e-01	
 6.7020e-01	 6.7709e-01	 6.6993e-01	
 6.6520e-01	 6.7922e-01	 6.5853e-01	
 6.7370e-01	 6.6789e-01	 6.6193e-01	
 6.6020e-01	 6.6556e-01	 6.5753e-01	
 6.5870e-01	 6.6504e-01	 6.5793e-01	
 6.5930e-01	 6.7007e-01	 6.5573e-01	
 6.6080e-01	 6.6162e-01	 6.5873e-01	
 6.5570e-01	 6.6751e-01	 6.4693e-01	
 6.5900e-01	 6.6020e-01	 6.5233e-01	
 6.6410e-01	 6.6571e-01	 6.5773e-01	
 6.6180e-01	 6.6042e-01	 6.5613e-01	
 6.5810e-01	 6.6298e-01	 6.4713e-01	
 6.6120e-01	 6.6058e-01	 6.4833e-01	
 6.5840e-01	 6.6000e-01	 6.5833e-01	
 6.6140e-01	 6.5900e-01	 6.5493e-01	
 6.5700e-01	 6.5829e-01	 6.5073e-01	
 6.5380e-01	 6.6144e-01	 6.4653e-01	
 6.5020e-01	 6.5800e-01	 6.4813e-01	
 6.5260e-01	 6.5738e-01	 6.5553e-01	
 6.5470e-01	 6.5596e-01	 6.4833e-01	
 6.7030e-01	 6.5562e-01	 6.6693e-01	
 6.5000e-01	 6.5662e-01	 6.3873e-01	
 6.5090e-01	 6.5587e-01	 6.4053e-01	
 6.4260e-01	 6.5493e-01	 6.4353e-01	
 6.5890e-01	 6.5367e-01	 6.5833e-01	
 6.5090e-01	 6.5624e-01	 6.4913e-01	
 6.4830e-01	 6.5298e-01	 6.4913e-01	
 6.4480e-01	 6.5380e-01	 6.3913e-01	
 6.4080e-01	 6.5311e-01	 6.4073e-01	
 6.4480e-01	 6.5242e-01	 6.4513e-01	
 6.4750e-01	 6.5362e-01	 6.4493e-01	
 6.4540e-01	 6.5467e-01	 6.4793e-01	
 6.4360e-01	 6.5289e-01	 6.3813e-01	
 6.3240e-01	 6.5031e-01	 6.3113e-01	
 6.4710e-01	 6.5047e-01	 6.3253e-01	
 6.5420e-01	 6.4898e-01	 6.4473e-01	
 6.3790e-01	 6.4860e-01	 6.3653e-01	
 6.5890e-01	 6.5027e-01	 6.5873e-01	
 6.3990e-01	 6.4720e-01	 6.3233e-01	
 6.5450e-01	 6.5218e-01	 6.4473e-01	
 6.5330e-01	 6.4633e-01	 6.5333e-01	
 6.4840e-01	 6.4638e-01	 6.4553e-01	
 6.4160e-01	 6.4847e-01	 6.3393e-01	
 6.4370e-01	 6.4382e-01	 6.3513e-01	
 6.3010e-01	 6.4642e-01	 6.2452e-01	
 6.3460e-01	 6.4664e-01	 6.3553e-01	
 6.3960e-01	 6.4462e-01	 6.3473e-01	
 6.3380e-01	 6.4562e-01	 6.3393e-01	
 6.3960e-01	 6.4744e-01	 6.3553e-01	
 6.4190e-01	 6.4511e-01	 6.3713e-01	
 6.5150e-01	 6.4384e-01	 6.4533e-01	
