Test Error	Training Error	Valid Error	
 9.2260e-01	 9.4187e-01	 9.2158e-01	
 9.1690e-01	 9.1640e-01	 9.1858e-01	
 9.0850e-01	 9.0722e-01	 9.0278e-01	
 8.8840e-01	 8.9384e-01	 8.8798e-01	
 8.7770e-01	 8.8138e-01	 8.7497e-01	
 8.6710e-01	 8.7062e-01	 8.6657e-01	
 8.6340e-01	 8.6236e-01	 8.5837e-01	
 8.3910e-01	 8.5404e-01	 8.4077e-01	
 8.2930e-01	 8.4273e-01	 8.2837e-01	
 8.2170e-01	 8.3487e-01	 8.1776e-01	
 8.1850e-01	 8.2491e-01	 8.1376e-01	
 8.1510e-01	 8.1558e-01	 8.1316e-01	
 8.0290e-01	 8.0638e-01	 8.0356e-01	
 8.0020e-01	 7.9853e-01	 7.9316e-01	
 7.8840e-01	 7.9542e-01	 7.7956e-01	
 7.7520e-01	 7.9071e-01	 7.7055e-01	
 7.7050e-01	 7.7996e-01	 7.6815e-01	
 7.5610e-01	 7.7796e-01	 7.5375e-01	
 7.5480e-01	 7.7533e-01	 7.4875e-01	
 7.6020e-01	 7.7233e-01	 7.5835e-01	
 7.5110e-01	 7.6584e-01	 7.5195e-01	
 7.4180e-01	 7.6416e-01	 7.3835e-01	
 7.3830e-01	 7.5984e-01	 7.3695e-01	
 7.3090e-01	 7.5827e-01	 7.2735e-01	
 7.1870e-01	 7.5298e-01	 7.1994e-01	
 7.2400e-01	 7.4638e-01	 7.2014e-01	
 7.1660e-01	 7.4489e-01	 7.1574e-01	
 7.1330e-01	 7.4138e-01	 7.1794e-01	
 7.1770e-01	 7.3849e-01	 7.0954e-01	
 7.1330e-01	 7.3622e-01	 7.1154e-01	
 7.1330e-01	 7.3271e-01	 7.0854e-01	
 7.0170e-01	 7.3073e-01	 6.9974e-01	
 7.0200e-01	 7.2793e-01	 6.9894e-01	
 6.9400e-01	 7.2529e-01	 6.9634e-01	
 7.0560e-01	 7.2422e-01	 7.0694e-01	
 7.0170e-01	 7.2293e-01	 6.9874e-01	
 6.9440e-01	 7.1578e-01	 6.9774e-01	
 6.8940e-01	 7.1527e-01	 6.9354e-01	
 6.9240e-01	 7.1191e-01	 6.9314e-01	
 6.9200e-01	 7.1211e-01	 6.9374e-01	
 6.8410e-01	 7.1193e-01	 6.8274e-01	
 6.8730e-01	 7.0589e-01	 6.8934e-01	
 6.8700e-01	 7.0596e-01	 6.8694e-01	
 6.8670e-01	 7.0233e-01	 6.9174e-01	
 6.8190e-01	 7.0531e-01	 6.8494e-01	
 6.8330e-01	 7.0278e-01	 6.7934e-01	
 6.7520e-01	 6.9511e-01	 6.7734e-01	
 6.7960e-01	 6.9424e-01	 6.8134e-01	
 6.8240e-01	 6.9427e-01	 6.8674e-01	
 6.7200e-01	 6.9182e-01	 6.7514e-01	
 6.7050e-01	 6.8320e-01	 6.7013e-01	
 6.6950e-01	 6.8347e-01	 6.6093e-01	
 6.6950e-01	 6.7880e-01	 6.6633e-01	
 6.7450e-01	 6.8167e-01	 6.7794e-01	
 6.7210e-01	 6.7804e-01	 6.7373e-01	
 6.7570e-01	 6.7844e-01	 6.7073e-01	
 6.6910e-01	 6.7751e-01	 6.6273e-01	
 6.6610e-01	 6.7662e-01	 6.6593e-01	
 6.5970e-01	 6.7598e-01	 6.5733e-01	
 6.6610e-01	 6.7280e-01	 6.6473e-01	
 6.6480e-01	 6.7378e-01	 6.6293e-01	
 6.7010e-01	 6.7307e-01	 6.6213e-01	
 6.5860e-01	 6.7222e-01	 6.5373e-01	
 6.5830e-01	 6.6860e-01	 6.4793e-01	
 6.5230e-01	 6.6938e-01	 6.5753e-01	
 6.5740e-01	 6.6784e-01	 6.5393e-01	
 6.6590e-01	 6.6760e-01	 6.5833e-01	
 6.5850e-01	 6.6758e-01	 6.5213e-01	
 6.5630e-01	 6.6578e-01	 6.4673e-01	
 6.5400e-01	 6.6887e-01	 6.4333e-01	
 6.5800e-01	 6.6953e-01	 6.4893e-01	
 6.5780e-01	 6.6316e-01	 6.5073e-01	
 6.4890e-01	 6.6242e-01	 6.4273e-01	
 6.5700e-01	 6.6182e-01	 6.5353e-01	
 6.4770e-01	 6.6233e-01	 6.4633e-01	
 6.5340e-01	 6.5916e-01	 6.4673e-01	
 6.5730e-01	 6.6000e-01	 6.5113e-01	
 6.5980e-01	 6.5944e-01	 6.5713e-01	
 6.4380e-01	 6.6040e-01	 6.4353e-01	
 6.4850e-01	 6.5844e-01	 6.4513e-01	
 6.4500e-01	 6.5864e-01	 6.4413e-01	
 6.4870e-01	 6.5753e-01	 6.4553e-01	
 6.4900e-01	 6.5709e-01	 6.4573e-01	
 6.5170e-01	 6.5473e-01	 6.5153e-01	
 6.5220e-01	 6.5580e-01	 6.5213e-01	
 6.5680e-01	 6.5533e-01	 6.5473e-01	
 6.5170e-01	 6.5513e-01	 6.4633e-01	
 6.5360e-01	 6.5404e-01	 6.4653e-01	
 6.3470e-01	 6.5480e-01	 6.2653e-01	
 6.4900e-01	 6.5249e-01	 6.4613e-01	
 6.4710e-01	 6.5238e-01	 6.4513e-01	
 6.3940e-01	 6.4958e-01	 6.3453e-01	
 6.4130e-01	 6.4833e-01	 6.4013e-01	
 6.4440e-01	 6.4876e-01	 6.4193e-01	
 6.4510e-01	 6.5156e-01	 6.5033e-01	
 6.3990e-01	 6.4896e-01	 6.3673e-01	
 6.3440e-01	 6.4764e-01	 6.3453e-01	
 6.5130e-01	 6.4771e-01	 6.4473e-01	
 6.3830e-01	 6.4462e-01	 6.3833e-01	
 6.4640e-01	 6.4616e-01	 6.4693e-01	
 6.4440e-01	 6.4038e-01	 6.3553e-01	
 6.3870e-01	 6.3891e-01	 6.3393e-01	
 6.3990e-01	 6.3693e-01	 6.3773e-01	
 6.3690e-01	 6.4038e-01	 6.3013e-01	
 6.4020e-01	 6.3682e-01	 6.3533e-01	
 6.4020e-01	 6.3971e-01	 6.3213e-01	
 6.3720e-01	 6.3624e-01	 6.3953e-01	
 6.3590e-01	 6.3891e-01	 6.3413e-01	
 6.4400e-01	 6.3833e-01	 6.4373e-01	
 6.4350e-01	 6.3578e-01	 6.3373e-01	
 6.4040e-01	 6.3536e-01	 6.4233e-01	
 6.3030e-01	 6.3509e-01	 6.2392e-01	
 6.3960e-01	 6.3436e-01	 6.3713e-01	
 6.2250e-01	 6.3316e-01	 6.2513e-01	
 6.3600e-01	 6.3473e-01	 6.3533e-01	
 6.3890e-01	 6.3236e-01	 6.4173e-01	
 6.2970e-01	 6.3527e-01	 6.2833e-01	
 6.4030e-01	 6.3189e-01	 6.4033e-01	
 6.3260e-01	 6.3418e-01	 6.3373e-01	
 6.2860e-01	 6.3153e-01	 6.2753e-01	
 6.3930e-01	 6.3144e-01	 6.3413e-01	
 6.3840e-01	 6.3087e-01	 6.3213e-01	
 6.1860e-01	 6.3262e-01	 6.2372e-01	
 6.3730e-01	 6.3269e-01	 6.3393e-01	
 6.3150e-01	 6.3202e-01	 6.2733e-01	
 6.2090e-01	 6.3140e-01	 6.1592e-01	
 6.1800e-01	 6.2998e-01	 6.1472e-01	
 6.2690e-01	 6.3073e-01	 6.1792e-01	
 6.1880e-01	 6.3024e-01	 6.1372e-01	
 6.3550e-01	 6.3047e-01	 6.3373e-01	
 6.2800e-01	 6.2956e-01	 6.2553e-01	
 6.2390e-01	 6.2791e-01	 6.1972e-01	
 6.2600e-01	 6.2653e-01	 6.2693e-01	
 6.2050e-01	 6.2778e-01	 6.1892e-01	
 6.2630e-01	 6.2947e-01	 6.2012e-01	
 6.2700e-01	 6.2969e-01	 6.2533e-01	
 6.3130e-01	 6.2704e-01	 6.2693e-01	
 6.3520e-01	 6.2976e-01	 6.3933e-01	
 6.2340e-01	 6.2660e-01	 6.2292e-01	
 6.2360e-01	 6.2753e-01	 6.1932e-01	
 6.3080e-01	 6.2773e-01	 6.2593e-01	
 6.3780e-01	 6.2502e-01	 6.3933e-01	
 6.3120e-01	 6.2758e-01	 6.2833e-01	
 6.2730e-01	 6.2416e-01	 6.2092e-01	
 6.2450e-01	 6.2627e-01	 6.1272e-01	
 6.2430e-01	 6.2576e-01	 6.1932e-01	
 6.2550e-01	 6.2387e-01	 6.1872e-01	
 6.3430e-01	 6.2618e-01	 6.3273e-01	
 6.2120e-01	 6.2611e-01	 6.1372e-01	
 6.2900e-01	 6.2349e-01	 6.2873e-01	
 6.2330e-01	 6.1778e-01	 6.2312e-01	
 6.2120e-01	 6.1773e-01	 6.1812e-01	
 6.2200e-01	 6.1793e-01	 6.1852e-01	
 6.1560e-01	 6.1664e-01	 6.1192e-01	
 6.2000e-01	 6.1662e-01	 6.2072e-01	
 6.1190e-01	 6.1709e-01	 6.1032e-01	
 6.2340e-01	 6.1880e-01	 6.2713e-01	
 6.2420e-01	 6.1758e-01	 6.2412e-01	
 6.1790e-01	 6.1802e-01	 6.1812e-01	
 6.1450e-01	 6.1631e-01	 6.1392e-01	
 6.1880e-01	 6.1864e-01	 6.2232e-01	
 6.1700e-01	 6.1844e-01	 6.0852e-01	
 6.2270e-01	 6.1769e-01	 6.1992e-01	
 6.2920e-01	 6.1658e-01	 6.2172e-01	
 6.1820e-01	 6.1604e-01	 6.1772e-01	
 6.3230e-01	 6.1798e-01	 6.3233e-01	
 6.1010e-01	 6.1567e-01	 6.1552e-01	
 6.1920e-01	 6.1718e-01	 6.0712e-01	
 6.1920e-01	 6.1696e-01	 6.1392e-01	
 6.2220e-01	 6.1464e-01	 6.1572e-01	
 6.2610e-01	 6.1542e-01	 6.1772e-01	
 6.1620e-01	 6.1558e-01	 6.1552e-01	
 6.3840e-01	 6.1689e-01	 6.2893e-01	
 6.1660e-01	 6.1851e-01	 6.1212e-01	
 6.2910e-01	 6.1280e-01	 6.2833e-01	
 6.2220e-01	 6.1611e-01	 6.1752e-01	
 6.1410e-01	 6.1622e-01	 6.1312e-01	
 6.2580e-01	 6.1653e-01	 6.1972e-01	
 6.1440e-01	 6.1340e-01	 6.1412e-01	
 6.1600e-01	 6.1327e-01	 6.1012e-01	
 6.1180e-01	 6.1347e-01	 6.0812e-01	
 6.2250e-01	 6.1596e-01	 6.1472e-01	
 6.1790e-01	 6.1567e-01	 6.1592e-01	
 6.2750e-01	 6.1513e-01	 6.2272e-01	
 6.2420e-01	 6.1544e-01	 6.2032e-01	
 6.1620e-01	 6.1333e-01	 6.0892e-01	
 6.2140e-01	 6.1338e-01	 6.2052e-01	
 6.1740e-01	 6.1418e-01	 6.1632e-01	
 6.1880e-01	 6.1060e-01	 6.1432e-01	
 6.1580e-01	 6.1153e-01	 6.0932e-01	
 6.2450e-01	 6.1413e-01	 6.1692e-01	
 6.2460e-01	 6.1396e-01	 6.2132e-01	
 6.1920e-01	 6.1409e-01	 6.1632e-01	
 6.2510e-01	 6.1240e-01	 6.1912e-01	
 6.2850e-01	 6.1278e-01	 6.2613e-01	
 6.1670e-01	 6.1371e-01	 6.0852e-01	
 6.1090e-01	 6.1247e-01	 6.0952e-01	
 6.1890e-01	 6.1147e-01	 6.2032e-01	
 6.1970e-01	 6.1536e-01	 6.2072e-01	
 6.1260e-01	 6.1073e-01	 6.1932e-01	
 6.1210e-01	 6.1007e-01	 6.0492e-01	
 6.2000e-01	 6.0853e-01	 6.2292e-01	
 6.1110e-01	 6.0607e-01	 6.1152e-01	
 6.1110e-01	 6.0882e-01	 6.0872e-01	
 6.1800e-01	 6.0736e-01	 6.1372e-01	
 6.0990e-01	 6.0696e-01	 6.0452e-01	
 6.1390e-01	 6.0558e-01	 6.0712e-01	
 6.2090e-01	 6.1056e-01	 6.1492e-01	
 6.2470e-01	 6.0722e-01	 6.2112e-01	
 6.0910e-01	 6.0540e-01	 6.0352e-01	
 6.1530e-01	 6.0638e-01	 6.1132e-01	
 6.1890e-01	 6.0793e-01	 6.0812e-01	
 6.1510e-01	 6.0807e-01	 6.1272e-01	
 6.2190e-01	 6.0611e-01	 6.1712e-01	
 6.1610e-01	 6.0582e-01	 6.1652e-01	
 6.1230e-01	 6.0698e-01	 5.9932e-01	
 6.1070e-01	 6.0640e-01	 6.0312e-01	
 6.0870e-01	 6.0742e-01	 6.1012e-01	
 6.0960e-01	 6.0760e-01	 6.0892e-01	
 6.2070e-01	 6.0698e-01	 6.2432e-01	
 6.1100e-01	 6.0938e-01	 6.0772e-01	
 6.0460e-01	 6.0780e-01	 6.0872e-01	
 6.0520e-01	 6.0760e-01	 5.9912e-01	
 6.0550e-01	 6.0647e-01	 6.0632e-01	
 6.2260e-01	 6.0791e-01	 6.1932e-01	
 6.0710e-01	 6.0784e-01	 6.0052e-01	
 6.2030e-01	 6.0560e-01	 6.2012e-01	
 6.2500e-01	 6.0636e-01	 6.1952e-01	
 6.1460e-01	 6.0218e-01	 6.0812e-01	
 6.1330e-01	 6.0598e-01	 6.1192e-01	
 6.1450e-01	 6.0740e-01	 6.1072e-01	
 6.1660e-01	 6.0589e-01	 6.1792e-01	
 6.0450e-01	 6.0658e-01	 5.9892e-01	
 6.1100e-01	 6.0440e-01	 6.0532e-01	
 6.1420e-01	 6.0864e-01	 6.0832e-01	
 6.1320e-01	 6.0718e-01	 6.0652e-01	
 6.1950e-01	 6.0556e-01	 6.1332e-01	
 6.1070e-01	 6.0587e-01	 6.1092e-01	
 6.1030e-01	 6.0727e-01	 6.1512e-01	
 6.1790e-01	 6.0578e-01	 6.1072e-01	
 6.0900e-01	 6.0331e-01	 6.1452e-01	
 6.1420e-01	 6.0562e-01	 6.1512e-01	
 6.0780e-01	 6.0960e-01	 6.0652e-01	
 6.1790e-01	 6.0547e-01	 6.1432e-01	
 6.1770e-01	 6.0589e-01	 6.1672e-01	
 6.1520e-01	 6.0516e-01	 6.1172e-01	
 6.1020e-01	 6.0758e-01	 6.0432e-01	
 6.1560e-01	 6.0473e-01	 6.1252e-01	
 6.1400e-01	 6.0558e-01	 6.1352e-01	
 6.1330e-01	 6.0331e-01	 6.1432e-01	
 6.1550e-01	 5.9942e-01	 6.1572e-01	
 6.1280e-01	 6.0247e-01	 6.0692e-01	
 6.1420e-01	 6.0511e-01	 6.1472e-01	
 6.0810e-01	 5.9904e-01	 6.0492e-01	
 6.0480e-01	 6.0267e-01	 6.0112e-01	
 6.0930e-01	 6.0278e-01	 6.1392e-01	
 6.0610e-01	 6.0358e-01	 6.0352e-01	
 6.1860e-01	 6.0151e-01	 6.1032e-01	
 6.0400e-01	 6.0047e-01	 5.9972e-01	
 6.1390e-01	 6.0127e-01	 6.0772e-01	
 6.1910e-01	 6.0133e-01	 6.2613e-01	
 6.0490e-01	 6.0178e-01	 6.0892e-01	
 6.1140e-01	 5.9842e-01	 6.1672e-01	
 6.0890e-01	 6.0071e-01	 6.0412e-01	
 6.0650e-01	 5.9993e-01	 6.0412e-01	
 6.1400e-01	 6.0091e-01	 6.1172e-01	
 6.1340e-01	 6.0127e-01	 6.1052e-01	
 6.0450e-01	 6.0262e-01	 6.0192e-01	
 6.1220e-01	 5.9916e-01	 5.9932e-01	
 6.0470e-01	 5.9920e-01	 6.0932e-01	
 6.0790e-01	 6.0209e-01	 6.0812e-01	
 6.1910e-01	 6.0278e-01	 6.0792e-01	
 6.0580e-01	 6.0027e-01	 6.0152e-01	
 6.0680e-01	 6.0087e-01	 6.0472e-01	
 6.1010e-01	 6.0016e-01	 6.1152e-01	
 6.2750e-01	 6.0164e-01	 6.2693e-01	
