Test Error	Training Error	Valid Error	
 9.1920e-01	 9.3709e-01	 9.1558e-01	
 8.8870e-01	 9.0469e-01	 8.8998e-01	
 8.6360e-01	 8.8089e-01	 8.6557e-01	
 8.5050e-01	 8.6622e-01	 8.4957e-01	
 8.3980e-01	 8.5247e-01	 8.4217e-01	
 8.3000e-01	 8.4196e-01	 8.3377e-01	
 8.2980e-01	 8.2993e-01	 8.2877e-01	
 8.1390e-01	 8.2769e-01	 8.1956e-01	
 8.0090e-01	 8.1791e-01	 7.9656e-01	
 8.0850e-01	 8.0782e-01	 8.0796e-01	
 7.8110e-01	 8.0302e-01	 7.8396e-01	
 7.8190e-01	 7.9540e-01	 7.8296e-01	
 7.7160e-01	 7.8827e-01	 7.6395e-01	
 7.7210e-01	 7.8242e-01	 7.6835e-01	
 7.6400e-01	 7.7449e-01	 7.6495e-01	
 7.5550e-01	 7.7062e-01	 7.4935e-01	
 7.5040e-01	 7.6573e-01	 7.5135e-01	
 7.3730e-01	 7.6353e-01	 7.3035e-01	
 7.4420e-01	 7.5578e-01	 7.4575e-01	
 7.3650e-01	 7.5571e-01	 7.3515e-01	
 7.2180e-01	 7.4971e-01	 7.2374e-01	
 7.2510e-01	 7.4767e-01	 7.2615e-01	
 7.2060e-01	 7.4238e-01	 7.1994e-01	
 7.1540e-01	 7.3840e-01	 7.1534e-01	
 7.1230e-01	 7.3584e-01	 7.1174e-01	
 7.1280e-01	 7.3109e-01	 7.0774e-01	
 7.1010e-01	 7.3073e-01	 7.1134e-01	
 7.0360e-01	 7.2680e-01	 7.0594e-01	
 7.1080e-01	 7.2269e-01	 7.0394e-01	
 7.0300e-01	 7.2213e-01	 6.9674e-01	
 6.9270e-01	 7.1907e-01	 6.9514e-01	
 6.9780e-01	 7.1809e-01	 6.9614e-01	
 6.9050e-01	 7.1353e-01	 6.9234e-01	
 6.8610e-01	 7.1260e-01	 6.9014e-01	
 6.7410e-01	 7.1104e-01	 6.7674e-01	
 6.7480e-01	 7.0669e-01	 6.7393e-01	
 6.8190e-01	 7.0093e-01	 6.8274e-01	
 6.6400e-01	 7.0024e-01	 6.7013e-01	
 6.6490e-01	 7.0029e-01	 6.7493e-01	
 6.6970e-01	 6.9911e-01	 6.6373e-01	
 6.6400e-01	 6.9827e-01	 6.6433e-01	
 6.6670e-01	 6.9193e-01	 6.7133e-01	
 6.7180e-01	 6.9089e-01	 6.7714e-01	
 6.6680e-01	 6.9149e-01	 6.6873e-01	
 6.5950e-01	 6.8607e-01	 6.6073e-01	
 6.5360e-01	 6.8762e-01	 6.5673e-01	
 6.5570e-01	 6.8171e-01	 6.4753e-01	
 6.4620e-01	 6.8124e-01	 6.4653e-01	
 6.5880e-01	 6.8011e-01	 6.5893e-01	
 6.5730e-01	 6.8178e-01	 6.5413e-01	
 6.4530e-01	 6.6940e-01	 6.4393e-01	
 6.4710e-01	 6.6602e-01	 6.4793e-01	
 6.4720e-01	 6.6676e-01	 6.4753e-01	
 6.4020e-01	 6.6822e-01	 6.3733e-01	
 6.5040e-01	 6.6333e-01	 6.5253e-01	
 6.4700e-01	 6.6593e-01	 6.4753e-01	
 6.4180e-01	 6.6444e-01	 6.4253e-01	
 6.4710e-01	 6.6167e-01	 6.4533e-01	
 6.4650e-01	 6.6231e-01	 6.4833e-01	
 6.4320e-01	 6.5907e-01	 6.4353e-01	
 6.3900e-01	 6.5862e-01	 6.4093e-01	
 6.3920e-01	 6.5896e-01	 6.3673e-01	
 6.4650e-01	 6.5709e-01	 6.4613e-01	
 6.3500e-01	 6.5882e-01	 6.3553e-01	
 6.3100e-01	 6.5800e-01	 6.3193e-01	
 6.3310e-01	 6.5627e-01	 6.3773e-01	
 6.3930e-01	 6.5636e-01	 6.3953e-01	
 6.4020e-01	 6.5591e-01	 6.3233e-01	
 6.4260e-01	 6.5138e-01	 6.4173e-01	
 6.3300e-01	 6.5247e-01	 6.3473e-01	
 6.3230e-01	 6.5147e-01	 6.2813e-01	
 6.2860e-01	 6.5087e-01	 6.2953e-01	
 6.2380e-01	 6.5082e-01	 6.2312e-01	
 6.2920e-01	 6.5036e-01	 6.3473e-01	
 6.2760e-01	 6.5138e-01	 6.3073e-01	
 6.2920e-01	 6.4802e-01	 6.3653e-01	
 6.3120e-01	 6.4807e-01	 6.3733e-01	
